BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
198404,19,1657,198404,19,1657,,9976773,ALABAMA,1,1984,April,Tornado,C,7,BIBB,,4/19/1984 16:57,CST,4/19/1984 16:57,0,0,0,0,.25K,0,,0,,,,F0,0.1,33,,,,,0,,,0,,,32.92,-87.18,,,,,PUB
198404,19,1910,198404,19,1910,,9976777,ALABAMA,1,1984,April,Tornado,C,123,TALLAPOOSA,,4/19/1984 19:10,CST,4/19/1984 19:10,0,0,0,0,25K,0,,0,,,,F1,0.1,33,,,,,0,,,0,,,32.6,-85.8,,,,,PUB
198405,2,1333,198405,2,1333,,9977867,ALABAMA,1,1984,May,Tornado,C,73,JEFFERSON,,5/2/1984 13:33,CST,5/2/1984 13:33,0,0,0,0,25K,0,,0,,,,F0,1,80,,,,,0,,,0,,,33.62,-86.8,,,,,PUB
198405,3,30,198405,3,30,,9977886,ALABAMA,1,1984,May,Tornado,C,83,LIMESTONE,,5/3/1984 0:30,CST,5/3/1984 0:30,0,0,0,0,25K,0,,0,,,,F1,3.5,100,,,,,0,,,0,,,34.73,-87.07,34.77,-87.02,,,PUB
198404,22,551,198404,22,551,,9977855,ALABAMA,1,1984,April,Tornado,C,7,BIBB,,4/22/1984 5:51,CST,4/22/1984 5:51,0,0,0,0,250K,0,,0,,,,F2,1,80,,,,,0,,,0,,,32.93,-87.17,,,,,PUB
198404,22,920,198404,22,920,,9977856,ALABAMA,1,1984,April,Tornado,C,101,MONTGOMERY,,4/22/1984 9:20,CST,4/22/1984 9:20,0,0,0,0,25K,0,,0,,,,F1,0.2,3,,,,,0,,,0,,,32.38,-86.42,,,,,PUB
198404,22,1114,198404,22,1114,,9977857,ALABAMA,1,1984,April,Tornado,C,17,CHAMBERS,,4/22/1984 11:14,CST,4/22/1984 11:14,0,0,0,0,25K,0,,0,,,,F1,10,60,,,,,0,,,0,,,32.72,-85.5,32.83,-85.43,,,PUB
198407,8,2330,198407,8,2330,,10086513,NORTH DAKOTA,38,1984,July,Tornado,C,91,STEELE,,7/8/1984 23:30,CST,7/8/1984 23:30,0,0,0,0,25K,0,,0,,,,F1,0.1,17,,,,,0,,,0,,,47.5,-97.62,,,,,PUB
198404,14,1830,198404,14,1830,,9998798,FLORIDA,12,1984,April,Tornado,C,127,VOLUSIA,,4/14/1984 18:30,CST,4/14/1984 18:30,0,0,0,0,25K,0,,0,,,,F0,1,33,,,,,0,,,0,,,29.22,-81.03,,,,,PUB
198404,27,1455,198404,27,1455,,10158983,WISCONSIN,55,1984,April,Tornado,C,135,WAUPACA,,4/27/1984 14:55,CST,4/27/1984 14:55,0,0,0,0,2.5M,0,,0,,,,F3,8,43,,,,,0,,,0,,,44.53,-88.92,44.72,-88.88,,,PUB
198406,13,1700,198406,13,1700,,10163026,WYOMING,56,1984,June,Tornado,C,27,NIOBRARA,,6/13/1984 17:00,CST,6/13/1984 17:00,0,0,0,0,25K,0,,0,,,,F1,1,20,,,,,0,,,0,,,43.03,-104.67,,,,,PUB
198405,3,1135,198405,3,1135,,9977917,ALABAMA,1,1984,May,Tornado,C,117,SHELBY,,5/3/1984 11:35,CST,5/3/1984 11:35,0,0,0,0,250K,0,,0,,,,F2,1,200,,,,,0,,,0,,,33.25,-86.38,33.27,-86.37,,,PUB
198405,3,1138,198405,3,1138,,9977918,ALABAMA,1,1984,May,Tornado,C,121,TALLADEGA,,5/3/1984 11:38,CST,5/3/1984 11:38,0,0,0,0,250K,0,,0,,,,F2,11,200,,,,,0,,,0,,,33.27,-86.37,33.32,-86.18,,,PUB
198405,3,1140,198405,3,1140,,9977919,ALABAMA,1,1984,May,Tornado,C,47,DALLAS,,5/3/1984 11:40,CST,5/3/1984 11:40,0,0,0,0,2.5M,0,,0,,,,F2,7.5,50,,,,,0,,,0,,,32.43,-87.07,32.43,-86.97,,,PUB
198405,3,600,198405,3,600,,9977898,ALABAMA,1,1984,May,Tornado,C,101,MONTGOMERY,,5/3/1984 6:00,CST,5/3/1984 6:00,37,0,5,0,2.5M,0,,0,,,,F3,6,800,,,,,0,,,0,,,32.37,-86.4,32.43,-86.37,,,PUB
198405,3,612,198405,3,612,,9977899,ALABAMA,1,1984,May,Tornado,C,51,ELMORE,,5/3/1984 6:12,CST,5/3/1984 6:12,0,0,0,0,2.5M,0,,0,,,,F3,1,800,,,,,0,,,0,,,32.43,-86.37,32.45,-86.35,,,PUB
198405,3,710,198405,3,710,,9977904,ALABAMA,1,1984,May,Tornado,C,87,MACON,,5/3/1984 7:10,CST,5/3/1984 7:10,0,0,0,0,25K,0,,0,,,,F1,7.5,80,,,,,0,,,0,,,32.43,-85.9,32.53,-85.8,,,PUB
198405,3,1048,198405,3,1048,,9977911,ALABAMA,1,1984,May,Tornado,C,119,SUMTER,,5/3/1984 10:48,CST,5/3/1984 10:48,0,0,0,0,.25K,0,,0,,,,F0,0.1,30,,,,,0,,,0,,,32.38,-88.32,,,,,PUB
198405,3,1130,198405,3,1130,,9977916,ALABAMA,1,1984,May,Tornado,C,117,SHELBY,,5/3/1984 11:30,CST,5/3/1984 11:30,0,0,0,0,2.5K,0,,0,,,,F1,1,60,,,,,0,,,0,,,33.38,-86.42,,,,,PUB
198407,5,130,198407,5,130,,9975653,ALABAMA,1,1984,July,Tornado,C,95,MARSHALL,,7/5/1984 1:30,CST,7/5/1984 1:30,0,0,0,0,25K,0,,0,,,,F1,2.5,40,,,,,0,,,0,,,34.32,-86.27,,,,,PUB
198409,15,1515,198409,15,1515,,9975677,ALABAMA,1,1984,September,Tornado,C,39,COVINGTON,,9/15/1984 15:15,CST,9/15/1984 15:15,0,0,0,0,25K,0,,0,,,,F1,2,33,,,,,0,,,0,,,31.27,-86.27,,,,,PUB
198410,15,1130,198410,15,1130,,9975679,ALABAMA,1,1984,October,Tornado,C,35,CONECUH,,10/15/1984 11:30,CST,10/15/1984 11:30,0,0,0,0,250K,0,,0,,,,F2,3.5,400,,,,,0,,,0,,,31.3,-87.23,31.33,-87.18,,,PUB
198411,10,1550,198411,10,1550,,9975693,ALABAMA,1,1984,November,Tornado,C,111,RANDOLPH,,11/10/1984 15:50,CST,11/10/1984 15:50,0,0,0,0,250K,0,,0,,,,F1,5,50,,,,,0,,,0,,,33.37,-85.38,33.42,-85.28,,,PUB
198411,10,1422,198411,10,1422,,9975690,ALABAMA,1,1984,November,Tornado,C,103,MORGAN,,11/10/1984 14:22,CST,11/10/1984 14:22,0,0,0,0,25K,0,,0,,,,F1,1.5,40,,,,,0,,,0,,,34.43,-86.73,,,,,PUB
198411,10,1540,198411,10,1540,,9975692,ALABAMA,1,1984,November,Tornado,C,27,CLAY,,11/10/1984 15:40,CST,11/10/1984 15:40,0,0,0,0,25K,0,,0,,,,F1,9.5,100,,,,,0,,,0,,,33.22,-85.9,33.33,-85.73,,,PUB
