BEGIN_DAY,BEGIN_TIME,END_DAY,END_TIME,STATE,YEAR,MONTH_NAME,CZ_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,LAT,LON,END_LAT,END_LON
5,1800,5,1800,PENNSYLVANIA,1950,July,C,LEHIGH,CST,2,0,0,0,25K,0,2,12.9,33,40.58,-75.7,40.65,-75.47
29,1600,29,1600,PENNSYLVANIA,1950,August,C,BUCKS,CST,0,0,0,0,2.5K,0,1,1,33,40.22,-75,,
4,1700,4,1700,PENNSYLVANIA,1950,November,C,LANCASTER,CST,1,0,0,0,250K,0,3,4.7,100,40.2,-76.12,40.27,-76.07
4,1730,4,1730,PENNSYLVANIA,1950,November,C,BERKS,CST,0,0,0,0,250K,0,3,11.2,100,40.27,-76.07,40.4,-75.93
15,1745,15,1745,OKLAHOMA,1950,September,C,HUGHES,CST,6,0,0,0,250K,0,2,6.8,100,35,-96.25,35.07,-96.17
16,130,16,130,OKLAHOMA,1950,September,C,PITTSBURG,CST,0,0,0,0,.25K,0,0,0,33,34.83,-95.85,,
27,300,27,300,OKLAHOMA,1950,March,C,PITTSBURG,CST,0,0,0,0,2.5K,0,2,0.1,77,34.85,-95.75,,
2,1800,2,1800,OKLAHOMA,1950,April,C,LINCOLN,CST,0,0,0,0,25K,0,2,1,100,35.82,-97.02,,
3,1615,3,1615,OKLAHOMA,1950,April,C,TULSA,CST,0,0,0,0,2.5K,0,1,1,33,36.13,-95.83,,
28,1905,28,1905,OKLAHOMA,1950,April,C,HUGHES,CST,32,0,5,0,250K,0,4,4.5,200,35.08,-96.4,35.13,-96.35
4,2130,4,2130,OKLAHOMA,1950,May,C,CUSTER,CST,0,0,0,0,2.5K,0,1,0,33,35.58,-99.17,,
27,800,27,800,MISSISSIPPI,1950,March,C,RANKIN,CST,0,0,0,0,250K,0,2,50.3,50,32.3,-90.12,32.98,-89.82
26,1800,26,1800,TEXAS,1950,January,C,BROOKS,CST,2,0,0,0,0K,0,2,4.7,133,26.88,-98.12,26.88,-98.05
11,1350,11,1350,TEXAS,1950,February,C,HARRIS,CST,12,0,1,0,25K,0,3,12,1000,29.67,-95.05,29.83,-95
11,2100,11,2100,TEXAS,1950,February,C,SMITH,CST,5,0,0,0,250K,0,2,4.6,100,32.35,-95.2,32.42,-95.2
12,610,12,610,TEXAS,1950,February,C,LIMESTONE,CST,0,0,0,0,25K,0,2,3.4,100,31.52,-96.55,31.57,-96.55
